name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
C.Sturgis,PK,PHI,11384,993,184.74,55,448
J.James,TE,PIT,12211,407,185.07,89,428
J.Williams,RB,SF,13237,466,185.66,106,425
G.Gano,PK,CAR,9694,860,186.30,89,447
B.Bills,Def,BUF,0501,815,186.57,68,333
J.Smith-Schuster,WR,PIT,13156,297,187.24,51,415
D.Allen,TE,NE,10742,560,187.39,65,404
T.Cohen,RB,CHI,13290,537,187.67,61,431
M.Mitchell,WR,NE,12669,392,189.00,65,398
J.Nelson,WR,ARI,12319,571,189.10,8,357
W.Fuller,WR,HOU,12647,378,189.15,77,360
M.Dolphins,Def,MIA,0503,411,190.01,67,343
S.Hauschka,PK,BUF,9319,575,190.06,92,454
T.Titans,Def,TEN,0508,391,190.19,96,319
M.Breida,RB,SF,13378,437,190.37,100,358
C.Sims,RB,TBB,11656,530,190.71,64,414
C.Samuel,WR,CAR,13157,345,191.14,82,412
J.Richard,RB,OAK,12912,330,192.09,71,372
P.Richardson,WR,SEA,11681,424,192.15,62,381
P.Dawson,PK,ARI,3494,595,192.24,95,471
J.Garoppolo,QB,NE,11760,284,192.46,82,329
A.Morris,RB,DAL,10870,475,192.69,67,403
V.McDonald,TE,PIT,11257,324,193.93,80,409
K.Dixon,RB,BAL,12632,162,194.08,77,465
N.Novak,PK,FA*,8144,351,194.53,94,480
L.Treadwell,WR,MIN,12645,228,194.84,97,416
C.Browns,Def,CLE,0507,160,195.03,3,351
M.Goodwin,WR,SF,11239,330,195.82,98,441
R.Succop,PK,TEN,9686,380,195.88,14,494
Y.Koo,PK,LAC,13403,248,195.88,71,469
D.Henderson,RB,DEN,13334,267,196.56,8,347
B.LaFell,WR,CIN,9843,317,196.81,73,435
C.Godwin,WR,TBB,13163,150,197.20,120,410
Z.Miller,TE,CHI,9611,275,197.34,60,438
N.Agholor,WR,PHI,12181,328,197.67,99,413
J.Gordon,WR,CLE,10960,288,197.82,37,406
K.Forbath,PK,MIN,10487,294,198.73,93,490
A.Hurns,WR,JAC,11925,337,198.86,97,389
T.Benjamin,WR,LAC,10737,270,199.07,72,464
T.Yeldon,RB,JAC,12153,327,199.12,84,464
N.Folk,PK,TBB,8851,318,199.57,89,479
J.Lambo,PK,FA,12417,230,199.71,122,480
P.Dorsett,WR,NE,12188,221,201.21,77,470
T.Austin,WR,LAR,11213,286,202.06,99,374
A.Stewart,WR,NYJ,13173,215,202.21,96,403
